data_kampanii	pozytywne	negatywne	wszystkie	dg	db	woe_val	ddiff	iv
01	6548	17472	24020	0.14112677270572007414	0.0785678632616995157	0.58569583216369992108	0.06255890944402055844	0.0366404925260691669394574541745255279152
02	6133	22197	28330	0.13218242165610586663	0.09981518205242354338	0.28086265424962908563	0.03236723960368232325	0.0090907488258239299075152474338915898975
03	2672	18115	20787	0.05758868916763653606	0.08145929733205624581	-0.34677729645533527345	-0.02387060816441970975	0.0082777849640021202521736870995858811375
04	2205	11436	13641	0.04752360015517910255	0.05142525665412063081	-0.0789029933439500668	-0.00390165649894152826	0.000307852376766362925149674954321087768
05	3151	17454	20605	0.06791241001767317557	0.07848692109487770988	-0.14471321374867603895	-0.01057451107720453431	0.0015302714818032422852832264161901713745
06	909	8881	9790	0.01959136169662485452	0.03993596575246986028	-0.7121885758637192749	-0.02034460405584500576	0.014489194589043501736323239481813523424
07	2660	10519	13179	0.05733005733005733006	0.04730170293325418988	0.1922787492537766296	0.01002835439680314018	0.001928239440490919372337076749576737328
08	2673	9553	12226	0.05761024182076813656	0.04295780664715061089	0.29348196808621661994	0.01465243517361752567	0.0043002255120089765474813886856135838598
09	7461	29587	37048	0.16080434501487133066	0.13304643831982048826	0.18949015003767703172	0.0277579066950508424	0.005259849904377023915032590956117520928
10	6050	47569	53619	0.13039355144618302513	0.21390766297480450218	-0.49498724431087412991	-0.08351411152862147705	0.0413384199266233488008556519396577835655
11	4670	20250	24920	0.1006508901245743351	0.09105993767453154721	0.1001400503455637848	0.00959095245004278789	0.000960438461209193109917613205212006072
12	1266	9348	10614	0.02728565886460623303	0.04203596530279115572	-0.4321643207373210894	-0.01475030643818492269	0.006374556162525521160562761756445578486
